Group;Family;Taxa;Aquatic passive;Aquatic active;Aerial passive;Aerial active;Dispersal category;Medium;Mode
Trichoptera;Leptoceridae;Adicella;1;1;1;2;Aerial_active;Aerial;Active
Diptera;Culicidae;Aedes;0;0;2;3;Aerial_active;Aerial;Active
Odonata;Aeschnidae;Aeshna;1;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Dytiscidae;Agabus;1;1;0;3;Aerial_active;Aerial;Active
Coleoptera;Hydrophilidae;Anacaena;0;1;0;3;Aerial_active;Aerial;Active
Odonata;Aeschnidae;Anax;0;1;0;3;Aerial_active;Aerial;Active
Mollusca;Ancylidae;Ancylus;2;1;1;0;Aquatic_passive;Aquatic;Passive
Mollusca;Planorbidae;Anisus;2;1;0;0;Aquatic_passive;Aquatic;Passive
Diptera;Culicidae;Anopheles;0;0;2;3;Aerial_active;Aerial;Active
Heteroptera;Gerridae;Aquarius;1;2;0;3;Aerial_active;Aerial;Active
Heteroptera;Corixidae;Corixidae;0;2;0;2;Aerial_active;Aerial;Active
Diptera;Athericidae;Atherix;0;1;0;1;Aerial_active;Aerial;Active
Diptera;Ceratopogonidae;Atrichopogon;0;0;0;2;Aerial_active;Aerial;Active
Diptera;Athericidae;Atrichops;1;1;0;1;Aerial_active;Aerial;Active
Ephemeroptera;Baetidae;Baetis;3;2;1;3;Aerial_active;Aerial;Active
Trichoptera;Beraeidae;Beraea;0;1;1;1;Aerial_active;Aerial;Active
Diptera;Psychodidae;Berdeniella;3;1;0;1;Aquatic_passive;Aquatic;Passive
Coleoptera;Hydrophilidae;Berosus;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Ceratopogonidae;Bezzia;3;1;0;2;Aquatic_passive;Aquatic;Passive
Coleoptera;Dytiscidae;Bidessus;1;1;0;3;Aerial_active;Aerial;Active
Odonata;Aeschnidae;Boyeria;2;0;0;3;Aerial_active;Aerial;Active
Diptera;Ceratopogonidae;Brachypogon;3;1;0;2;Aquatic_passive;Aquatic;Passive
Mollusca;Hydrobiidae;Bythinella;3;1;0;0;Aquatic_passive;Aquatic;Passive
Ephemeroptera;Caenidae;Caenis;2;1;1;1;Aquatic_passive;Aquatic;Passive
Odonata;Calopterygidae;Calopteryx;2;1;0;2;Aerial_active;Aerial;Active
Ephemeroptera;Baetidae;Centroptilum;2;2;1;2;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Ceriagrion;2;1;0;3;Aerial_active;Aerial;Active
Odonata;Lestidae;Chalcolestes;1;1;0;3;Aerial_active;Aerial;Active
Diptera;Chaoboridae;Chaoborus;1;2;0;0;Aquatic_active;Aquatic;Active
Diptera;Empididae;Chelifera;1;1;0;1;Aerial_active;Aerial;Active
Diptera;Limoniidae;Chionea;0;1;0;1;Aerial_active;Aerial;Active
Diptera;Chironomidae;Chironomini;1;1;1;1;Aerial_passive;Aerial;Passive
Diptera;Rhagionidae;Chrysopilus;0;1;0;2;Aerial_active;Aerial;Active
Diptera;Tabanidae;Chrysops;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Empididae;Clinocera;1;1;0;3;Aerial_active;Aerial;Active
Ephemeroptera;Baetidae;Cloeon;1;2;1;2;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Coenagrion;2;1;0;3;Aerial_active;Aerial;Active
Odonata;Coenagrionidae;Coenagrionidae;2;1;0;3;Aerial_active;Aerial;Active
Odonata;Cordulegasteridae;Cordulegaster;2;0;0;3;Aerial_active;Aerial;Active
Odonata;Libellulidae;Crocothemis;0;1;0;3;Aerial_active;Aerial;Active
Diptera;Culicidae;Culex;0;0;2;3;Aerial_active;Aerial;Active
Diptera;Ceratopogonidae;Culicoides;3;1;0;2;Aquatic_passive;Aquatic;Passive
Coleoptera;Scirtidae;Cyphon;0;1;0;3;Aerial_active;Aerial;Active
