Order;Family;Genus;Taxa;CA1SP;CA1SU;CA2SU;CA3SP;CA3SU;CA4SP;H1SU;H2SU;H3SU;H5SU;MU1SP;MU2SP;MU2SU;MU3SP;MU3SU;MU4SP;MU4SU;R4SP;R4SU;SA1SP;SA1SU;SA2SP;SA2SU;SA3SP;SA3SU;SA4SP;SA5SP;SA5SU;SC1SP;SC2SP;SC3SP;SC3SU;SC4SP;SC4SU;T1SP;T1SU;T2SP;T3SP;T3SU;T4SP
Diptera;Culicidae;Aedes;Aedes;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Odonata;Aeshnidae;Aeshna;Aeshna;0;0;4;8;9;3;5;6;2;2;0;0;0;0;0;0;6;0;1;10;1;0;3;0;0;0;0;12;0;0;0;0;6;30;0;0;0;0;0;2
Coleoptera;Dytiscidae;Agabus;Agabus;3;0;1;4;1;4;16;1;3;0;4;39;4;20;8;10;11;0;0;5;2;12;0;0;0;0;3;0;0;1;0;0;2;0;2;2;1;0;0;4
Coleoptera;Hydrophilidae;Anacaena;Anacaena;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;5;0;0;0;0
Odonata;Aeshnidae;Anax;Anax;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;5;0;5;0;0;6;0;0;0;0;0;0;5;0;0;1;0;0;0
Basommatophora;Ancylidae;Ancylus;Ancylus;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Basommatophora;Planorbidae;Anisus;Anisus;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Diptera;Culicidae;Anopheles;Anopheles;0;0;0;0;0;0;14;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;2;0;0;0;0
Hemiptera;Gerridae;Aquarius;Aquarius;0;0;3;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;10;2;12;0;0;0
Hemiptera;Corixidae;;Corixidae;0;0;0;0;0;0;2;19;1;0;0;0;0;0;0;0;0;0;0;0;12;0;1;0;1;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0
